cuenta,valor,ano,mes,entidad
Obligaciones por financiamiento,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Obligaciones por instrumentos financieros Emitidos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Obligaciones con entidades de intermediación financiera,6209970.75,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Operaciones de venta al contado con compra a plazo,3001995174,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Acreedores por intermediación,220552526.6,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Cuentas por pagar relacionadas,15019691.74,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otras cuentas por pagar,5045443.91,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Provisiones,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Acumulaciones y otras obligaciones,53648976.87,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Arrendamientos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Impuesto por pagar,93050.64,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Impuesto diferidos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otros pasivos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PASIVOS,3315660328,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Capital,188772500,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Aportes para futura capitalización,39431560.54,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Acciones en Tesorería,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Reserva legal,37754500,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Reservas de capital,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Resultados acumulados,608006242.3,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Resultados del ejercicio,39728708.78,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Superávit por revaluación,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otro resultado integral,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PATRIMONIO,913693511.7,2022,1,"BHD PUESTO DE BOLSA, S.A. "
TOTAL DE PASIVOS Y PATRIMONIO,4229353840,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable,82554233.68,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A valor razonable - Instrumentos financieros derivados,-4606185.82,2022,1,"BHD PUESTO DE BOLSA, S.A. "
A costo amortizado,-10817286.77,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Total resultados por instrumentos financieros,67130761.09,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por administración de cartera,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por custodia de valores,2500,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Ingresos por asesorías financieras,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otros ingresos por servicios,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Total ingresos por servicios,2500,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Comisiones por operaciones bursátiles y extrabursátiles,595832.17,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Gastos por comisiones y servicios,-4461004.82,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otras comisiones,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Total resultados por intermediación,-3865172.65,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Gastos por financiamientos por Instrumentos financieros emitidos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Gastos por financiamientos con entidades de intermediación financiera,-6518.37,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Gastos por arrendamientos,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Total gastos financieros,-6518.37,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Gastos de administración y comercialización,-23887604.44,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Reajuste y diferencia de cambio,348629.51,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Resultado de inversiones en sociedades,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Otros ingresos (gastos),6113.64,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Operaciones descontinuadas (neto),0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Total otros resultados,354743.15,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Resultado antes de impuesto a la renta,39728708.78,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Impuesto sobre la renta,0,2022,1,"BHD PUESTO DE BOLSA, S.A. "
UTILIDAD DEL EJERCICIO,39728708.78,2022,1,"BHD PUESTO DE BOLSA, S.A. "
Efectivo y equivalente de efectivo,964666311,2022,1,"CCI PUESTO DE BOLSA, S.A."
Inversiones en instrumentos financieros,5106437687,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable con cambios en resultados,4229480437,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable Instrumentos Financieros Derivados,1466878.39,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable con cambios en ORI,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,875490371.7,2022,1,"CCI PUESTO DE BOLSA, S.A."
Operaciones de compra al contado con venta a plazos,575485202.6,2022,1,"CCI PUESTO DE BOLSA, S.A."
Cuentas por cobrar en operaciones de cartera propia,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Deudores por intermediación,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Cuentas por cobrar relacionadas,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otras cuentas por cobrar,11163960.17,2022,1,"CCI PUESTO DE BOLSA, S.A."
Impuestos pagados por anticipado,18559109.31,2022,1,"CCI PUESTO DE BOLSA, S.A."
Impuestos diferidos,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Inversiones en sociedades,2000564.22,2022,1,"CCI PUESTO DE BOLSA, S.A."
Activos intangibles,3765229.79,2022,1,"CCI PUESTO DE BOLSA, S.A."
"Propiedad, planta y equipo",63768803.15,2022,1,"CCI PUESTO DE BOLSA, S.A."
Derecho de uso,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Propiedades de Inversión,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otros activos,3760156.53,2022,1,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE ACTIVOS,6749607024,2022,1,"CCI PUESTO DE BOLSA, S.A."
Pasivos financieros,378933781.1,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable,228867947.6,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable-instrumento financieros derivados,1425436.42,2022,1,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,148640397.1,2022,1,"CCI PUESTO DE BOLSA, S.A."
Obligaciones por financiamiento,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Obligaciones por instrumentos financieros Emitidos,148487860.1,2022,1,"CCI PUESTO DE BOLSA, S.A."
Obligaciones con entidades de intermediación financiera,152536.95,2022,1,"CCI PUESTO DE BOLSA, S.A."
Operaciones de venta al contado con compra a plazo,4692721046,2022,1,"CCI PUESTO DE BOLSA, S.A."
Acreedores por intermediación,278490042.4,2022,1,"CCI PUESTO DE BOLSA, S.A."
Cuentas por pagar relacionadas,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otras cuentas por pagar,602944.03,2022,1,"CCI PUESTO DE BOLSA, S.A."
Provisiones,60931000,2022,1,"CCI PUESTO DE BOLSA, S.A."
Acumulaciones y otras obligaciones,40864906.56,2022,1,"CCI PUESTO DE BOLSA, S.A."
Arrendamientos,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Impuesto por pagar,626835.05,2022,1,"CCI PUESTO DE BOLSA, S.A."
Impuesto diferidos,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otros pasivos,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PASIVOS,5453170555,2022,1,"CCI PUESTO DE BOLSA, S.A."
Capital,200000000,2022,1,"CCI PUESTO DE BOLSA, S.A."
Aportes para futura capitalización,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Acciones en Tesorería,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Reserva legal,40000000,2022,1,"CCI PUESTO DE BOLSA, S.A."
Reservas de capital,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Resultados acumulados,1000394383,2022,1,"CCI PUESTO DE BOLSA, S.A."
Resultados del ejercicio,56042086.08,2022,1,"CCI PUESTO DE BOLSA, S.A."
Superávit por revaluación,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otro resultado integral,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PATRIMONIO,1296436469,2022,1,"CCI PUESTO DE BOLSA, S.A."
TOTAL DE PASIVOS Y PATRIMONIO,6749607024,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable,167502091.3,2022,1,"CCI PUESTO DE BOLSA, S.A."
A valor razonable - Instrumentos financieros derivados,-5031503.7,2022,1,"CCI PUESTO DE BOLSA, S.A."
A costo amortizado,-22390082.43,2022,1,"CCI PUESTO DE BOLSA, S.A."
Total resultados por instrumentos financieros,140080505.2,2022,1,"CCI PUESTO DE BOLSA, S.A."
Ingresos por administración de cartera,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Ingresos por custodia de valores,448576.01,2022,1,"CCI PUESTO DE BOLSA, S.A."
Ingresos por asesorías financieras,74674.88,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otros ingresos por servicios,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Total ingresos por servicios,523250.89,2022,1,"CCI PUESTO DE BOLSA, S.A."
Comisiones por operaciones bursátiles y extrabursátiles,1124614.65,2022,1,"CCI PUESTO DE BOLSA, S.A."
Gastos por comisiones y servicios,-2270956.41,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otras comisiones,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Total resultados por intermediación,-1146341.76,2022,1,"CCI PUESTO DE BOLSA, S.A."
Gastos por financiamientos por Instrumentos financieros emitidos,-881312.73,2022,1,"CCI PUESTO DE BOLSA, S.A."
Gastos por financiamientos con entidades de intermediación financiera,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Gastos por arrendamientos,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Total gastos financieros,-881312.73,2022,1,"CCI PUESTO DE BOLSA, S.A."
Gastos de administración y comercialización,-29095197.39,2022,1,"CCI PUESTO DE BOLSA, S.A."
Reajuste y diferencia de cambio,6550925.16,2022,1,"CCI PUESTO DE BOLSA, S.A."
Resultado de inversiones en sociedades,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Otros ingresos (gastos),-59989743.24,2022,1,"CCI PUESTO DE BOLSA, S.A."
Operaciones descontinuadas (neto),0,2022,1,"CCI PUESTO DE BOLSA, S.A."
Total otros resultados,-53438818.08,2022,1,"CCI PUESTO DE BOLSA, S.A."
Resultado antes de impuesto a la renta,56042086.08,2022,1,"CCI PUESTO DE BOLSA, S.A."
Impuesto sobre la renta,0,2022,1,"CCI PUESTO DE BOLSA, S.A."
UTILIDAD DEL EJERCICIO,56042086.08,2022,1,"CCI PUESTO DE BOLSA, S.A."
Efectivo y equivalente de efectivo,111367074.8,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Inversiones en instrumentos financieros,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable con cambios en resultados,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable Instrumentos Financieros Derivados,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable con cambios en ORI,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Operaciones de compra al contado con venta a plazos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por cobrar en operaciones de cartera propia,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Deudores por intermediación,11735324.3,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por cobrar relacionadas,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otras cuentas por cobrar,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuestos pagados por anticipado,3778888.31,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuestos diferidos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Inversiones en sociedades,6311339,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Activos intangibles,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
"Propiedad, planta y equipo",0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Derecho de uso,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Propiedades de Inversión,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros activos,852014.75,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE ACTIVOS,134044641.2,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Pasivos financieros,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable-instrumento financieros derivados,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones por financiamiento,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones por instrumentos financieros Emitidos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Obligaciones con entidades de intermediación financiera,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Operaciones de venta al contado con compra a plazo,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acreedores por intermediación,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Cuentas por pagar relacionadas,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otras cuentas por pagar,438900.66,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Provisiones,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acumulaciones y otras obligaciones,6475466.31,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Arrendamientos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuesto por pagar,92584.55,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Impuesto diferidos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros pasivos,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PASIVOS,7006951.52,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Capital,65000000,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Aportes para futura capitalización,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Acciones en Tesorería,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Reserva legal,13000000,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Reservas de capital,330467,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultados acumulados,49931568.38,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Resultados del ejercicio,-1224345.71,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Superávit por revaluación,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otro resultado integral,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PATRIMONIO,127037689.7,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
TOTAL DE PASIVOS Y PATRIMONIO,134044641.2,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A valor razonable - Instrumentos financieros derivados,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
A costo amortizado,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Total resultados por instrumentos financieros,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por administración de cartera,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por custodia de valores,1384423.13,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Ingresos por asesorías financieras,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
Otros ingresos por servicios,0,2022,1,"CITINVERSIONES DE TITULOS Y VALORES, S.A. PUESTO DE BOLSA"
